Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,CC1=CC=NN1,605628.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D605628&database=RX&origin=ReaxysOutput&ln=,(1081 of 4000),88054-14-2,3(5)-methylpyrazole,N2C3H3CH3,C4H6N2,82.105,heterocyclic,,XKVUYEYANWFIJX-UHFFFAOYSA-N,,,,Identification(100); Physical Data(19); Spectra(13); Bioactivity(9),81.0,176.0,139 - 140,,,,,,"Article; Miginiac-Groizeleau; Annales de Chimie (Cachan, France); vol. 6; 13; (1961); p. 1071,1120;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3779488&database=RX&origin=ReaxysOutput&ln=
,CC(=N)CC#N,878192.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D878192&database=RX&origin=ReaxysOutput&ln=,(1082 of 4000),1118-60-1,3-Iminobutyronitrile; Acetonitrile dimer,C4H6N2,C4H6N2,82.105,acyclic,,CSIFGMFVGDBOQC-UHFFFAOYSA-N,,,,Identification(32); Physical Data(5); Spectra(2),98.0,58.0,53,petroleum ether,,,,,"Article; Becker,B.F.; Fritz,H.P.; Justus Liebigs Annalen der Chemie; (1976); p. 1015 - 1022;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D76284&database=RX&origin=ReaxysOutput&ln=
,CC(N)=CC#N,1719815.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1719815&database=RX&origin=ReaxysOutput&ln=,(1083 of 4000),1118-61-2,3-Aminocrotononitrile; diacetonitrile,CH3C(NH2)CHCN,C4H6N2,82.105,acyclic,,DELJOESCKJGFML-UHFFFAOYSA-N,,,,Identification(60); Physical Data(11); Spectra(9),1081.0,434.0,77 - 79,,,,,,"Article; Poindexter, Graham S.; Catt, John D.; Sasse, Philip A.; Kercher, Michele A.; Heterocycles; vol. 36; 2; (1993); p. 295 - 305;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5714766&database=RX&origin=ReaxysOutput&ln=
,C\C(N)=C\C#N,1719816.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1719816&database=RX&origin=ReaxysOutput&ln=,(1084 of 4000),870-64-4,2-aminocrotononitrile,C4H6N2,C4H6N2,82.105,acyclic,,DELJOESCKJGFML-RQOWECAXSA-N,,,,Identification(109); Physical Data(8); Spectra(14),283.0,209.0,78,,,,,,"Article; Hong et al.; Photochemistry and Photobiology; vol. 24; (1976); p. 217,218,219;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4505613&database=RX&origin=ReaxysOutput&ln=
,CN(C=C)C#N,1740186.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1740186&database=RX&origin=ReaxysOutput&ln=,(1085 of 4000),,methyl-vinyl-carbamonitrile; Methylvinylcyanamid,C4H6N2,C4H6N2,82.105,acyclic,,CRRUMUXLAPJYIT-UHFFFAOYSA-N,,,,Identification(5); Physical Data(2),2.0,2.0,28 - 29,,,,,,Article; v.Braun; Goll; Zobel; Chemische Berichte; vol. 59; (1926); p. 945;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1225307&database=RX&origin=ReaxysOutput&ln=
,CC(C)=NC#N,1811651.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1811651&database=RX&origin=ReaxysOutput&ln=,(1086 of 4000),3285-27-6,Isopropyliden-cyanamid; isopropylidene-carbamonitrile; Aceton-cyanimin; 2-Cyanimino-propan; Isopropyliden-carbamonitril,C4H6N2,C4H6N2,82.105,acyclic,,BIJPRSHVWSIVKT-UHFFFAOYSA-N,,,,Identification(6); Physical Data(7); Spectra(3),5.0,6.0,214,,,Decomp.,,,Article; Gol'dberg; Golow; Khimicheskaya Nauka i Promyshlennost; vol. 4; (1959); p. 138; Chem.Abstr.; (1959); p. 16953;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1831418&database=RX&origin=ReaxysOutput&ln=
,N=CCCC#N,1848522.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1848522&database=RX&origin=ReaxysOutput&ln=,(1087 of 4000),42937-67-7,"Diacetonitril, 3-Imino-butyro-nitril",C4H6N2,C4H6N2,82.105,acyclic,,DPNVGIPFFKEXNO-UHFFFAOYSA-N,,,,Identification(6); Physical Data(2),1.0,2.0,62,,,,,,"Article; Weygand et al.; Chemische Berichte; vol. 97; (1964); p. 1217,1222;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3919490&database=RX&origin=ReaxysOutput&ln=
,CC=NCC#N,2070880.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2070880&database=RX&origin=ReaxysOutput&ln=,(1088 of 4000),90567-34-3,N-Ethyliden-glycin-nitril,C4H6N2,C4H6N2,82.105,acyclic,,YCLTUROHGKCKGY-UHFFFAOYSA-N,,,,Identification(5); Physical Data(1),1.0,1.0,102,CHCl3; diethyl ether,,,,,"Article; Kotetko; Zajaczkowska; Acta Poloniae Pharmaceutica; vol. 19; (1962); p. 223,224, 226; Chem.Abstr.; vol. 59; 7370g; (1963);",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4126863&database=RX&origin=ReaxysOutput&ln=
,C=NCCC#N,2345129.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2345129&database=RX&origin=ReaxysOutput&ln=,(1089 of 4000),4991-78-0,3-Methylenamino-propionitril,C4H6N2,C4H6N2,82.105,acyclic,,JCRJUFXFYIAOAP-UHFFFAOYSA-N,,,,Identification(5); Physical Data(1),1.0,1.0,69,methanol,,,,,Patent; VALERO ENERGY CORPORATION&amp;apos;S OIL REFINERY IN KROTZ SPRINGS; US2935524; (1960); A; Chem.Abstr.; vol. 56; 3562; (1962); Chem.Abstr.; vol. 56; 3562; (1962);,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4441629&database=RX&origin=ReaxysOutput&ln=
,C\C(=C\N)C#N,3117354.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3117354&database=RX&origin=ReaxysOutput&ln=,(1090 of 4000),24532-84-1,3-amino-2-methylacrylonitrile; seqcis-3-Amino-2-methyl-acrylnitril,C4H6N2,C4H6N2,82.105,acyclic,,ARURRWWRCKTFBE-RQOWECAXSA-N,,,,Identification(6); Physical Data(3),4.0,2.0,70 - 71,,,,,,Article; Sieveking; Luettke; Angewandte Chemie; vol. 81; (1969); p. 432;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2592970&database=RX&origin=ReaxysOutput&ln=
,C1C2CC1N=N2,4242619.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4242619&database=RX&origin=ReaxysOutput&ln=,(1091 of 4000),72192-13-3,"2,3-diazabicyclo<2.1.1>hex-2-ene",C4H6N2,C4H6N2,82.105,heterocyclic,,FLMPZLURVMTPKU-UHFFFAOYSA-N,,,,Identification(8); Physical Data(2); Spectra(10),5.0,6.0,63 - 64,,,Method: sealed tube,,,"Article; Chang, Moon Ho; Dougherty, Dennis A.; Journal of Organic Chemistry; vol. 46; 20; (1981); p. 4092 - 4093;; ; Article; Chang, Moon Ho; Jain, Rakesh; Dougherty, Dennis A.; Journal of the American Chemical Society; vol. 106; 15; (1984); p. 4211 - 4217;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5572125&database=RX&origin=ReaxysOutput&ln=
,C[SiH](F)F,1731055.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731055&database=RX&origin=ReaxysOutput&ln=,(1092 of 4000),420-34-8,methyldifluorosilane; Methyl-difluor-silan; difluoro methylsilane; Difluor-methyl-silan,CH3SiHF2,CH4F2Si,82.1251,acyclic,,DZVMPZZLNXJNLL-UHFFFAOYSA-N,,,,Identification(14); Physical Data(14); Spectra(13),28.0,35.0,-110.1,,,,,,"Article; Booth; Jarry; Journal of the American Chemical Society; vol. 71; (1949); p. 971,972;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1250963&database=RX&origin=ReaxysOutput&ln=
,CC(=C)C(C)=C,605285.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D605285&database=RX&origin=ReaxysOutput&ln=,(1093 of 4000),513-81-5,"2,3-dimethyl-buta-1,3-diene; 2,3-dimethyl-1,3-butadiene; 2,3-dimethylbutadiene; dimethylbutadiene",(CH3H2CC)2,C6H10,82.1454,acyclic,,SDJHPPZKZZWAKF-UHFFFAOYSA-N,,,,Identification(858); Physical Data(179); Spectra(80); Bioactivity(230),8587.0,4572.0,-76,,,,,,"Article; Dolliver et al.; Journal of the American Chemical Society; vol. 59; (1937); p. 831,832;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1549282&database=RX&origin=ReaxysOutput&ln=
,CCCCC#C,635687.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D635687&database=RX&origin=ReaxysOutput&ln=,(1094 of 4000),693-02-7,hex-1-yne; n-hexyne; 1-hexyn,CHCC4H9,C6H10,82.1454,acyclic,,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,,,,Identification(1099); Physical Data(324); Spectra(102); Bioactivity(371),15965.0,7377.0,99.9 - 100,,,,,,"Article; Pallin et al.; Tartu Riikliku Ulikooli Toimetised; vol. 384; (1976); p. 98,99-103; Chem.Abstr.; vol. 87; 52671k; Chemisches Zentralblatt; Ref.Zh.Khim. 1977, Abstr. No. 7 N 18;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4508016&database=RX&origin=ReaxysOutput&ln=
,C1CCC=CC1,906737.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D906737&database=RX&origin=ReaxysOutput&ln=,(1095 of 4000),110-83-8,cyclohexene; cis-cyclohexene,(CH2)4CHCH,C6H10,82.1454,isocyclic,,HGCIXCUEYOPUTN-UHFFFAOYSA-N,,,,Identification(741); Physical Data(826); Spectra(124); Bioactivity(588),11010.0,11601.0,-104.15,,,,,,"Article; Pajak, Z.; Latanowicz, L.; Jurga, K.; Berichte der Bunsen-Gesellschaft; vol. 84; 8; (1980); p. 769 - 775;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5920682&database=RX&origin=ReaxysOutput&ln=
,CC(C)=CC=C,1697096.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1697096&database=RX&origin=ReaxysOutput&ln=,(1096 of 4000),926-56-7,"4-methyl-1,3-pentadiene; 4-methylpenta-1,3-diene; 2-methyl-2,4-pentadiene",CH2CHCHC(CH3)2,C6H10,82.1454,acyclic,,CJSBUWDGPXGFGA-UHFFFAOYSA-N,,,,Identification(176); Physical Data(71); Spectra(31),298.0,396.0,-70,,,,,,Article; Enklaar; Recueil des Travaux Chimiques des Pays-Bas; vol. 36; (1917); p. 249;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1305609&database=RX&origin=ReaxysOutput&ln=
,CC(C)(C)C#C,1697100.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1697100&database=RX&origin=ReaxysOutput&ln=,(1097 of 4000),917-92-0,"(t)Bu-C*CH; 2,2-dimethyl-3-butyne; 3,3-Dimethylbut-1-yne; 3,3-dimethyl-1-butyne; tert-Butylacetylene; 3,3-dimethylbutyn; t-Butylacetylene; tert-butylethyne",CHCC4H9,C6H10,82.1454,acyclic,,PPWNCLVNXGCGAF-UHFFFAOYSA-N,,,,Identification(488); Physical Data(120); Spectra(77); Bioactivity(180),6716.0,3547.0,-78.21,,,,,,"Article; Pomerantz et al.; Journal of Research of the National Bureau of Standards (United States); vol. 52; (1954); p. 59,60;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1404246&database=RX&origin=ReaxysOutput&ln=
,CC(C)CC#C,1731077.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731077&database=RX&origin=ReaxysOutput&ln=,(1098 of 4000),7154-75-8,4-methylpentyne; 4-methyl-pent-1-yne; 4-methyl-1-pentyne; isobutylacetylene,(CH3)2CHCH2C2H,C6H10,82.1454,acyclic,,OXRWICUICBZVAE-UHFFFAOYSA-N,,,,Identification(70); Physical Data(28); Spectra(13),647.0,310.0,-104.82,,,,,,"Article; Miller et al.; Journal of Organic Chemistry; vol. 19; (1954); p. 1882,1885,1887;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1406622&database=RX&origin=ReaxysOutput&ln=
,C=CCCC=C,1731106.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731106&database=RX&origin=ReaxysOutput&ln=,(1099 of 4000),592-42-7,"1,5-Hexadien",(CH2CH)2(CH2)2,C6H10,82.1454,acyclic,,PYGSKMBEVAICCR-UHFFFAOYSA-N,,,,Identification(622); Physical Data(226); Spectra(59); Bioactivity(88),1718.0,1727.0,-139.5,,,,,,"Article; Hill et al.; Journal of Chemical Thermodynamics; vol. 10; (1978); p. 1153,1155, 1157;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4060756&database=RX&origin=ReaxysOutput&ln=
,CCC#CCC,1731158.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731158&database=RX&origin=ReaxysOutput&ln=,(1100 of 4000),928-49-4,hex-3-yne; 3-Hexyne,CC(C2H5)2,C6H10,82.1454,acyclic,,DQQNMIPXXNPGCV-UHFFFAOYSA-N,,,,Identification(462); Physical Data(121); Spectra(43); Bioactivity(127),4554.0,2529.0,-102.5,,,,,,Article; Rondeau et al.; Journal of Chemical and Engineering Data; vol. 10; (1965); p. 84;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3790608&database=RX&origin=ReaxysOutput&ln=
,CCCC#CC,1731542.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731542&database=RX&origin=ReaxysOutput&ln=,(1101 of 4000),764-35-2,2-Hexyne,H3CC2C3H7,C6H10,82.1454,acyclic,,MELUCTCJOARQQG-UHFFFAOYSA-N,,,,Identification(145); Physical Data(72); Spectra(43),331.0,457.0,-89.58,,,,,,"Article; Pomerantz et al.; Journal of Research of the National Bureau of Standards (United States); vol. 52; (1954); p. 59,60;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1404246&database=RX&origin=ReaxysOutput&ln=
,CC#CC(C)C,1731860.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731860&database=RX&origin=ReaxysOutput&ln=,(1102 of 4000),21020-27-9,4-methylpent-2-yne; 4-methyl-2-pentyne,(CH3)2CHCCCH3,C6H10,82.1454,acyclic,,SLMFWJQZLPEDDU-UHFFFAOYSA-N,,,,Identification(78); Physical Data(24); Spectra(11),306.0,246.0,-110.37,,,,,,"Article; Pomerantz et al.; Journal of Research of the National Bureau of Standards (United States); vol. 52; (1954); p. 59,60;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1404246&database=RX&origin=ReaxysOutput&ln=
,C1CC1C1CC1,1900246.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1900246&database=RX&origin=ReaxysOutput&ln=,(1103 of 4000),5685-46-1,bicyclopropyl; Dicyclopropyl; Bis-cyclopropyl,C6H10,C6H10,82.1454,isocyclic,,PGPFRBIKUWKSTJ-UHFFFAOYSA-N,,,,Identification(24); Physical Data(33); Spectra(23),19.0,44.0,-82.6,,,,,,"Article; Braun; Luettke; Journal of Molecular Structure; vol. 28; (1975); p. 391,394, 397, 409;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4169777&database=RX&origin=ReaxysOutput&ln=
,CC1=CCCC1,1900640.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1900640&database=RX&origin=ReaxysOutput&ln=,(1104 of 4000),693-89-0,1-methylcyclopent-1-ene; 1-methylcyclopentene; 1-methyl-1-cyclopentene; methylcyclopentene,C5H7(CH3),C6H10,82.1454,isocyclic,,ATQUFXWBVZUTKO-UHFFFAOYSA-N,,,,Identification(293); Physical Data(144); Spectra(34),729.0,878.0,-126.53,,,Extrapoliert.,,,"Article; Streiff et al.; Analytical Chemistry; vol. 29; (1957); p. 361,364;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1692844&database=RX&origin=ReaxysOutput&ln=
,C1C2CC1CC2,2035854.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2035854&database=RX&origin=ReaxysOutput&ln=,(1105 of 4000),285-86-9,bicyclo[2.1.1]hexane; Bicyclo<2.1.1>hexan; bicyclo<2.1.1>hexane,C6H10,C6H10,82.1454,isocyclic,,JSMRMEYFZHIPJV-UHFFFAOYSA-N,,,,Identification(23); Physical Data(13); Spectra(13),17.0,33.0,26.5,,,,,,"Article; Srinivasan,R.; Sonntag,F.I.; Canadian Journal of Chemistry; vol. 47; (1969); p. 1627 - 1631;; ; Article; Srinivasan; Levi; Journal of the American Chemical Society; vol. 85; (1963); p. 3363;; ; Article; Srinivasan; Organic Photochemical Syntheses; vol. 1; (1972); p. 31;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D25507&database=RX&origin=ReaxysOutput&ln=
,CC(=C)C1CC1,2036431.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2036431&database=RX&origin=ReaxysOutput&ln=,(1106 of 4000),4663-22-3,isopropenylcyclopropane; 2-cyclopropylpropene,CH2C(CH3)C3H5,C6H10,82.1454,isocyclic,,MKPHNILWOMCVTH-UHFFFAOYSA-N,,,,Identification(24); Physical Data(50); Spectra(29),137.0,134.0,71 - 72,,,,,,"Article; Yakushkina,N.I. et al.; Journal of Organic Chemistry USSR (English Translation); vol. 12; (1976); p. 2082 - 2085; Zhurnal Organicheskoi Khimii; vol. 12; (1976); p. 2141 - 2144;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D280760&database=RX&origin=ReaxysOutput&ln=
,CC=C1CCC1,2203068.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2203068&database=RX&origin=ReaxysOutput&ln=,(1107 of 4000),1528-21-8,Ethylidencyclobutan; ethylidenecyclobutane; Aethylidencyclobuten,(CH3)(CH2)3(CH)C,C6H10,82.1454,isocyclic,,FYHISAJRLZLAQP-UHFFFAOYSA-N,,,,Identification(27); Physical Data(15); Spectra(8),14.0,32.0,-105.37,,,,,,Article; Derfer; Greenlee; Boord; Journal of the American Chemical Society; vol. 71; (1949); p. 180;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1337411&database=RX&origin=ReaxysOutput&ln=
,CCC=C1CC1,6184978.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D6184978&database=RX&origin=ReaxysOutput&ln=,(1108 of 4000),91509-05-6,"ethylidene cyclopropane; Propylidencyclopropan; ethylene-1,butene; ethylene-butene",C6H10,C6H10,82.1454,isocyclic,,FTJHRVWWPKMONX-UHFFFAOYSA-N,,,,Identification(60); Physical Data(1); Spectra(4),8.0,61.0,118.4,,,,,,Patent; ENI SPA; US6596891; (2003); B1;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7149409&database=RX&origin=ReaxysOutput&ln=
,FC(Cl)=O,1697977.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1697977&database=RX&origin=ReaxysOutput&ln=,(1110 of 4000),353-49-1,fluoroformyl chloride,FC(O)Cl,CClFO,82.4618,acyclic,,OXVVNXMNLYYMOL-UHFFFAOYSA-N,,,,Identification(34); Physical Data(105); Spectra(20),98.0,146.0,-138,,,,,,"Article; Simons; Herman; Pearlson; Journal of the American Chemical Society; vol. 68; (1946); p. 1672,1673;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1474639&database=RX&origin=ReaxysOutput&ln=
,Cl[H].CCO,3663483.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3663483&database=RX&origin=ReaxysOutput&ln=,(1111 of 4000),75239-80-4,ethanol hydrochloride; hydrochloric acid (ethanol),C2H6O*ClH,C2H6O*ClH,82.53,acyclic,,DZGCGKFAPXFTNM-UHFFFAOYSA-N,,,,Identification(147); Physical Data(4),54.0,177.0,126 - 129,,,,,,Patent; ISTITUTO DE ANGELI; US4666932; (1987); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75151&database=RX&origin=ReaxysOutput&ln=
,Cl[H].COC,3904881.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3904881&database=RX&origin=ReaxysOutput&ln=,(1112 of 4000),24521-77-5,dimethyl ether : hydrochloric acid complex; dimethyl ether-hydrogen chloride complex; dimethyl ether*ClH; hydrogen chloride*dimethyl ether; dimethyl ether ; hydrochloride; Dimethyl-aether; Hydrochlorid,HCl*(CH3)2O,C2H6O*ClH,82.53,acyclic,,DNMZJIGSDQVGSA-UHFFFAOYSA-N,,,,Identification(7); Physical Data(7); Spectra(8),3.0,16.0,-97.1,,,,,,"Article; Gmelin Handbuch der Anorganischen Chemie; vol. Cl: SVol.B1; 96, page 273 - 275;; ; Article; Baume, G.; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 148; (1909); p. 1322 - 1324;; ; Article; Baume, G.; Journal de Chimie Physique et de Physico-Chimie Biologique; vol. 12; (1914); p. 216 - 224;; ; Article; Baume, G.; Journal de Chimie Physique et de Physico-Chimie Biologique; vol. 9; (1911); p. 245 - 289; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7276822&database=RX&origin=ReaxysOutput&ln=
,Cl[H].CNN,3664286.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3664286&database=RX&origin=ReaxysOutput&ln=,(1113 of 4000),7339-53-9; 55330-60-4; 88216-08-4,methyl hydrazine hydrochloride; N-methylhydrazine hydrochloride; monomethyl hydrazine hydrochloride,CH3NHNH2*HCl = NH2NH2CH3Cl,CH6N2*ClH,82.533,acyclic,,GIKDYMRZQQJQFB-UHFFFAOYSA-N,,,,Identification(20); Physical Data(2); Spectra(7); Bioactivity(5),126.0,87.0,122 - 124,ethanol,,,,,"Article; Ficken; Kendall; Journal of the Chemical Society; (1959); p. 3202,3212;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D758953&database=RX&origin=ReaxysOutput&ln=
,CB(C)N=C=O,2346036.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2346036&database=RX&origin=ReaxysOutput&ln=,(1116 of 4000),4426-16-8,Dimethylborisocyanat; (dimethyl)isocyanatoborane; dimethylboron isocyanate,(CH3)2BNCO,C3H6BNO,82.8977,acyclic,,LDOUSBXNDRKUQI-UHFFFAOYSA-N,,,,Identification(7); Physical Data(15); Spectra(12),7.0,13.0,-119 - -118,,,,,,"Article; Goubeau,J.; Graebner,H.; Chemische Berichte; vol. 93; (1960); p. 1379 - 1387;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D36024&database=RX&origin=ReaxysOutput&ln=
,[H]B([H])N1CCCC1,102530.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D102530&database=RX&origin=ReaxysOutput&ln=,(1118 of 4000),22092-85-9,pyrrolidinoborane,H2BN(CH2)4,C4H10BN,82.9411,heterocyclic,,ZJOFCTAZGFQMDI-UHFFFAOYSA-N,,,,Identification(8); Physical Data(4); Spectra(4),12.0,13.0,33.8 - 34.2,,,,,,"Article; Burg; Good; Journal of Inorganic and Nuclear Chemistry; vol. 2; (1956); p. 237,240;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D975953&database=RX&origin=ReaxysOutput&ln=
,CC1BNCC1,23701519.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D23701519&database=RX&origin=ReaxysOutput&ln=,(1119 of 4000),,"3-methyl-1,2-dihydro-1,2-azaborolidine",C4H10BN,C4H10BN,82.9411,,,IRCYDOGTAMGULB-UHFFFAOYSA-N,,,,Identification(7); Physical Data(8); Spectra(4),5.0,2.0,-18,pentane,supporting information,,,,"Erratum; Luo, Wei; Campbell, Patrick G.; Zakharov, Lev N.; Liu, Shih-Yuan; Journal of the American Chemical Society; vol. 135; 23; (2013); p. 8760 - 8760;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35500726&database=RX&origin=ReaxysOutput&ln=
,[H][N+]([H])([H])[H].[H]P([H])([O-])=O,15935083.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D15935083&database=RX&origin=ReaxysOutput&ln=,(1120 of 4000),7803-65-8,ammonium phosphinate; ammonium hypophosphite,NH4(1+)*H2PO2(1-)=NH4(H2PO2),H2O2P*H4N,83.0269,Isotope or isotope containing compound,,AQQVTZBWWYVEGR-UHFFFAOYSA-N,,,,Identification(6); Physical Data(21); Spectra(2),23.0,31.0,200,,,,,,"Article; Wurtz, A.; Annales de Chimie et de Physique; vol. 16; (1846); p. 193;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. NH4: MVol.2; 8.3, page 416 - 418; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7370356&database=RX&origin=ReaxysOutput&ln=
,[Li+].[H]O[H].[S-]C#N,3722055.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3722055&database=RX&origin=ReaxysOutput&ln=,(1121 of 4000),97034-09-8,lithium thiocyanate monohydrate; thiocyanic acid ; lithium thiocyanate; Thiocyansaeure; Lithiumrhodanid,Li(1+)*SCN(1-)*H2O=LiSCN*H2O,CNS*H2O*Li,83.04,acyclic,,UNTVNJAFDYEXLD-UHFFFAOYSA-M,,,,Identification(6); Physical Data(9),,3.0,60.5,,,,,,"Article; Nikolajew; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 61; (1929); p. 939,945;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1473932&database=RX&origin=ReaxysOutput&ln=
